,quarter,year,NROUST,NROU,SPF_Inflation,pceEnergy,V_hwi,Unemployment,V_U,POILBREUSDM,Michigan_Inflation,Swap_1year,Swap_5year,Swap_10year,import_def,GDP_def,UNRATE,USRECM,CPIAUCSL,CPILFESL,PCEPI,PCEPILFE
90,3,1990,5.693902493,5.693902493,,49.78066667,4312.764134,7159.3335,0.602397435,21.45333333,4.233333333,,,,88.251,59.611,5.699999809265137,1,131.5330047607422,136.5,60.08700180053711,60.7400016784668
91,4,1990,5.674851418,5.674851418,4.15,54.50533333,3752.416207,7708.0,0.486820992,27.00666667,4.733333333,,,,93.155,60.055,6.099999904632568,1,133.7669982910156,138.0670013427734,60.88100051879883,61.25
92,1,1991,5.656145573,5.656145573,4.05,51.393,3301.84942,8288.667,0.398357109,17.00333333,3.533333333,,,,90.303,60.643,6.599999904632568,1,134.7669982910156,140.0670013427734,61.20199966430664,61.79299926757813
93,2,1991,5.637838,5.637838,4.08,49.65133333,3215.826284,8622.333,0.372964751,16.06,3.2,,,,87.811,61.088,6.800000190734863,0,135.5670013427734,141.3329925537109,61.5359992980957,62.27000045776367
94,3,1991,5.619961,5.619961,,49.45833333,3105.990113,8658.0,0.358742217,16.55666667,3.1,,,,86.486,61.566,6.900000095367432,0,136.6000061035156,142.8670043945313,61.95399856567383,62.83000183105469
95,4,1991,5.602534,5.602534,4.0,50.081,3013.144641,8990.333,0.335153841,16.50666667,2.933333333,,,,86.876,61.931,7.099999904632568,0,137.7330017089844,144.1999969482422,62.40299987792969,63.32500076293945
96,1,1992,5.585576534,5.585576534,3.7,49.57566667,3021.78777,9399.0,0.321500986,14.05,2.633333333,,,,87.27,62.161,7.400000095367432,0,138.6670074462891,145.4669952392578,62.79499816894531,63.80899810791016
97,2,1992,5.569084,5.569084,3.9,49.99533333,3103.436282,9733.0,0.318857113,16.56666667,3.0,,,,87.604,62.535,7.599999904632568,0,139.7330017089844,146.7330017089844,63.21200180053711,64.26000213623047
98,3,1992,5.553059,5.553059,3.75,50.67,3105.64883,9806.0,0.316709038,17.35666667,2.833333333,,,,88.719,62.841,7.599999904632568,0,140.8000030517578,147.8670043945313,63.6150016784668,64.63999938964844
99,4,1992,5.537511,5.537511,3.6,51.27866667,3195.339127,9506.667,0.336115605,16.03333333,2.833333333,,,,88.01,63.273,7.400000095367432,0,142.0330047607422,149.1999969482422,64.05899810791016,65.11399841308594
100,1,1993,5.522455,5.522455,3.5,51.22,3230.563024,9188.0,0.351606772,15.39,3.066666667,,,,87.493,63.628,7.099999904632568,0,143.0670013427734,150.5,64.44100189208984,65.56300354003906
101,2,1993,5.50790453,5.50790453,3.7,50.87366667,3317.324867,9126.667,0.36347605,15.74666667,3.133333333,,,,87.802,64.007,7.099999904632568,0,144.1000061035156,151.7669982910156,64.8740005493164,66.06099700927734
102,3,1993,5.493864536,5.493864536,3.45,50.327,3445.706924,8802.333,0.391453825,13.65666667,3.066666667,,,,87.02,64.387,6.800000190734863,0,144.7669982910156,152.6670074462891,65.15599822998047,66.43000030517578
103,4,1993,5.480341434,5.480341434,3.45,50.932,3645.971792,8589.667,0.424460202,14.81,3.033333333,,,,86.66,64.738,6.599999904632568,0,145.9669952392578,153.8670043945313,65.53099822998047,66.77200317382812
104,1,1994,5.467338562,5.467338562,3.45,50.59133333,3982.609573,8561.0,0.465203781,10.71333333,2.866666667,,,,86.594,65.048,6.599999904632568,0,146.6999969482422,154.8670043945313,65.76599884033203,67.07499694824219
105,2,1994,5.454845,5.454845,3.5,50.156,4145.292415,8057.6665,0.514453212,13.75333333,2.933333333,,,,87.399,65.362,6.199999809265137,0,147.5330047607422,155.9329986572266,66.13300323486328,67.5260009765625
106,3,1994,5.442838,5.442838,3.5,51.57366667,4253.139262,7871.0,0.540355642,14.48666667,3.133333333,,,,88.866,65.737,6.0,0,148.8999938964844,157.1000061035156,66.60800170898438,67.90299987792969
107,4,1994,5.431291,5.431291,3.5,51.82433333,4524.197646,7412.3335,0.610360779,13.80333333,3.066666667,,,,89.213,66.093,5.599999904632568,0,149.7669982910156,158.1000061035156,66.91999816894531,68.24800109863281
108,1,1995,5.420172,5.420172,3.3,51.70533333,4423.750955,7238.3335,0.611156001,14.46333333,3.066666667,,,,89.97,66.452,5.5,0,150.8670043945313,159.4329986572266,67.24800109863281,68.60600280761719
109,2,1995,5.409451485,5.409451485,3.35,51.64733333,4233.427257,7500.6665,0.564406811,15.57,3.066666667,,,,91.278,66.771,5.699999809265137,0,152.1000061035156,160.7330017089844,67.63800048828125,69.01300048828125
110,3,1995,5.399091,5.399091,3.2,51.37333333,4372.985361,7496.3335,0.583349895,14.21,2.866666667,,,,90.715,67.1,5.699999809265137,0,152.8670043945313,161.8000030517578,67.91500091552734,69.34200286865234
111,4,1995,5.38905,5.38905,3.0,51.02666667,4461.311356,7392.3335,0.603505152,14.24333333,2.8,,,,89.903,67.423,5.599999904632568,0,153.6999969482422,162.9329986572266,68.21299743652344,69.69000244140625
112,1,1996,5.379276,5.379276,3.0,52.55,4383.195657,7374.0,0.594412213,16.2,2.833333333,,,,89.709,67.747,5.5,0,155.0670013427734,164.0330047607422,68.59300231933594,69.96399688720703
113,2,1996,5.369709492,5.369709492,3.0,54.297,4361.732821,7311.0,0.596598662,18.15333333,3.0,,,,89.246,68.028,5.5,0,156.3999938964844,165.0,69.052001953125,70.2959976196289
114,3,1996,5.360292435,5.360292435,3.0,53.64633333,4398.602315,7066.0,0.62250245,18.61666667,3.1,,,,88.349,68.251,5.300000190734863,0,157.3000030517578,166.0670013427734,69.34600067138672,70.61699676513672
115,4,1996,5.350973606,5.350973606,3.0,54.891,4572.502671,7173.3335,0.637430655,20.87666667,3.0,,,,88.318,68.615,5.300000190734863,0,158.6670074462891,167.1329956054688,69.81900024414062,71.01899719238281
116,1,1997,5.341696,5.341696,3.0,55.93066667,4732.282134,7086.6665,0.667772659,19.65666667,2.933333333,,,,87.653,69.025,5.199999809265137,0,159.6329956054688,168.1000061035156,70.12699890136719,71.2979965209961
117,2,1997,5.332409382,5.332409382,2.85,53.61333333,4682.369459,6775.6665,0.69105666,16.58,2.9,,,,85.833,69.162,5.0,0,160.0,169.1670074462891,70.3030014038086,71.66999816894531
118,3,1997,5.32308054,5.32308054,3.0,53.93366667,4851.861358,6639.6665,0.730738714,16.16333333,2.733333333,,,,85.27,69.464,4.900000095367432,0,160.8000030517578,169.8999938964844,70.48799896240234,71.83699798583984
119,4,1997,5.31369,5.31369,2.65,54.167,5047.553819,6412.6665,0.787122458,16.51,2.833333333,,,,84.595,69.695,4.699999809265137,0,161.6670074462891,170.8670043945313,70.70999908447266,72.06500244140625
120,1,1998,5.304222,5.304222,2.6,51.09033333,5210.937516,6365.3335,0.818643283,12.25666667,2.4,,,,82.505,69.794,4.599999904632568,0,162.0,171.8999938964844,70.71499633789062,72.2770004272461
121,2,1998,5.294664,5.294664,2.5,49.87933333,5236.678946,6066.6665,0.863188861,10.80333333,2.566666667,,,,81.493,69.959,4.400000095367432,0,162.5330047607422,172.8670043945313,70.84300231933594,72.49800109863281
122,3,1998,5.285001,5.285001,2.5,49.512,5181.641017,6246.0,0.829593503,10.64333333,2.433333333,,,,80.428,70.255,4.5,0,163.3670043945313,173.8999938964844,71.06199645996094,72.75599670410156
123,4,1998,5.275233,5.275233,2.5,48.79033333,5170.763601,6137.3335,0.842509797,9.663333333,2.433333333,,,,80.371,70.453,4.400000095367432,0,164.1329956054688,174.8670043945313,71.2490005493164,72.98799896240234
